Date,Open,High,Low,Close,Adj Close,Volume
30-01-2017,728.5,728.5,728.5,728.5,726.249695,0
31-01-2017,729.450012,729.450012,724.450012,724.450012,722.212219,100
01-02-2017,724.450012,724.450012,724.450012,724.450012,722.212219,0
02-02-2017,724.450012,724.450012,724.450012,724.450012,722.212219,0
03-02-2017,724.450012,724.450012,724.450012,724.450012,722.212219,0
06-02-2017,724.450012,724.450012,724.450012,724.450012,722.212219,0
07-02-2017,724.450012,724.450012,724.450012,724.450012,722.212219,0
08-02-2017,724.450012,724.450012,724.450012,724.450012,722.212219,0
09-02-2017,724.450012,724.450012,724.450012,724.450012,722.212219,0
10-02-2017,724.450012,724.450012,724.450012,724.450012,722.212219,0
13-02-2017,712.849976,712.849976,712.849976,712.849976,710.64801,100
14-02-2017,712.849976,712.849976,712.849976,712.849976,710.64801,0
15-02-2017,712.849976,712.849976,712.849976,712.849976,710.64801,0
16-02-2017,712.849976,712.849976,712.849976,712.849976,710.64801,0
17-02-2017,712.849976,712.849976,712.849976,712.849976,710.64801,0
21-02-2017,712.849976,712.849976,712.849976,712.849976,710.64801,0
22-02-2017,712.849976,712.849976,712.849976,712.849976,710.64801,0
23-02-2017,695.75,696.450012,694.450012,696.450012,694.298706,100
24-02-2017,696.450012,696.450012,696.450012,696.450012,694.298706,0
27-02-2017,696.450012,696.450012,696.450012,696.450012,694.298706,100
28-02-2017,696.450012,696.450012,696.450012,696.450012,694.298706,0
01-03-2017,696.450012,696.450012,696.450012,696.450012,694.298706,0
02-03-2017,679.799988,679.799988,679.799988,679.799988,677.700134,100
03-03-2017,679.799988,679.799988,679.799988,679.799988,677.700134,0
06-03-2017,679.799988,679.799988,679.799988,679.799988,677.700134,0
07-03-2017,679.799988,679.799988,679.799988,679.799988,677.700134,0
08-03-2017,684,684,684,684,681.887146,100
09-03-2017,684,684,684,684,681.887146,0
10-03-2017,681.5,681.5,681.5,681.5,679.394897,100
13-03-2017,681.5,681.5,681.5,681.5,679.394897,0
14-03-2017,681.5,681.5,681.5,681.5,679.394897,0
15-03-2017,675.849976,677.200012,675.849976,677.200012,675.108154,100
16-03-2017,677.200012,677.200012,677.200012,677.200012,675.108154,0
17-03-2017,681.950012,681.950012,677,677,674.908752,100
20-03-2017,677,677,677,677,674.908752,0
21-03-2017,677,677,677,677,674.908752,0
22-03-2017,677,677,677,677,674.908752,0
23-03-2017,691,691,690,690,687.868652,100
24-03-2017,690,690,690,690,687.868652,0
27-03-2017,690,690,690,690,687.868652,0
28-03-2017,690,690,690,690,687.868652,0
29-03-2017,684.820007,684.820007,684.820007,684.820007,682.704651,100
30-03-2017,688.299988,688.299988,685.799988,687,684.877869,100
31-03-2017,691.5,691.5,691.5,691.5,689.364014,100
03-04-2017,677.599976,692,677.599976,692,689.862427,100
04-04-2017,692,692,692,692,689.862427,0
05-04-2017,687.049988,697.75,687.049988,697.75,695.594666,100
06-04-2017,697.75,697.75,697.75,697.75,695.594666,0
07-04-2017,697.75,697.75,697.75,697.75,695.594666,0
10-04-2017,697.75,697.75,697.75,697.75,695.594666,0
11-04-2017,697.75,697.75,697.75,697.75,695.594666,0
12-04-2017,697.75,697.75,697.75,697.75,695.594666,0
13-04-2017,671.150024,671.150024,671.150024,671.150024,669.076904,100
17-04-2017,671.150024,671.150024,671.150024,671.150024,669.076904,0
18-04-2017,671.150024,671.150024,671.150024,671.150024,669.076904,0
19-04-2017,695,695,695,695,692.853149,100
20-04-2017,695,695,695,695,692.853149,0
21-04-2017,695,695,695,695,692.853149,0
24-04-2017,695,695,695,695,692.853149,0
25-04-2017,695,695,695,695,692.853149,0
26-04-2017,695,695,695,695,692.853149,0
27-04-2017,695,695,695,695,692.853149,0
28-04-2017,694.450012,694.450012,694.450012,694.450012,692.304871,100
01-05-2017,694.450012,694.450012,694.450012,694.450012,692.304871,0
02-05-2017,694.450012,694.450012,694.450012,694.450012,692.304871,0
03-05-2017,694.450012,694.450012,694.450012,694.450012,692.304871,0
04-05-2017,703.799988,703.799988,703.799988,703.799988,701.625977,100
05-05-2017,703.799988,703.799988,703.799988,703.799988,701.625977,0
08-05-2017,703.799988,703.799988,703.799988,703.799988,701.625977,0
09-05-2017,703.799988,703.799988,703.799988,703.799988,701.625977,0
10-05-2017,703.799988,703.799988,703.799988,703.799988,701.625977,0
11-05-2017,703.799988,703.799988,703.799988,703.799988,703.799988,0
12-05-2017,703.799988,703.799988,703.799988,703.799988,703.799988,0
15-05-2017,703.799988,703.799988,703.799988,703.799988,703.799988,0
16-05-2017,703.799988,703.799988,703.799988,703.799988,703.799988,0
17-05-2017,703.799988,703.799988,703.799988,703.799988,703.799988,0
18-05-2017,703.799988,703.799988,703.799988,703.799988,703.799988,0
19-05-2017,703.799988,703.799988,703.799988,703.799988,703.799988,0
22-05-2017,715.900024,715.900024,715.900024,715.900024,715.900024,100
23-05-2017,715.900024,715.900024,715.900024,715.900024,715.900024,0
24-05-2017,715.900024,715.900024,715.900024,715.900024,715.900024,0
25-05-2017,715.900024,715.900024,715.900024,715.900024,715.900024,0
26-05-2017,715.900024,715.900024,715.900024,715.900024,715.900024,0
30-05-2017,715.900024,715.900024,715.900024,715.900024,715.900024,0
31-05-2017,715.900024,715.900024,715.900024,715.900024,715.900024,0
01-06-2017,715.900024,715.900024,715.900024,715.900024,715.900024,0
02-06-2017,715.900024,715.900024,715.900024,715.900024,715.900024,0
05-06-2017,754.799988,754.799988,727,727,727,200
06-06-2017,764,768,756.849976,756.849976,756.849976,100
07-06-2017,756.849976,756.849976,756.849976,756.849976,756.849976,100
08-06-2017,756.849976,756.849976,756.849976,756.849976,756.849976,0
09-06-2017,756.849976,756.849976,756.849976,756.849976,756.849976,0
12-06-2017,756.849976,756.849976,756.849976,756.849976,756.849976,0
13-06-2017,756.849976,756.849976,756.849976,756.849976,756.849976,0
14-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,100
15-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
16-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
19-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
20-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
21-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
22-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
23-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
26-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
27-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
28-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
29-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
30-06-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
03-07-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
05-07-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
06-07-2017,797.549988,797.549988,797.549988,797.549988,797.549988,0
07-07-2017,804,804,804,804,804,100
10-07-2017,804,804,804,804,804,0
11-07-2017,804,804,804,804,804,0
12-07-2017,804,804,804,804,804,0
13-07-2017,805,805,805,805,805,100
14-07-2017,805,805,805,805,805,100
17-07-2017,809.549988,809.549988,809.549988,809.549988,809.549988,100
18-07-2017,840.400024,840.400024,840.400024,840.400024,840.400024,100
19-07-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
20-07-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
21-07-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
24-07-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
25-07-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
26-07-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
27-07-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
28-07-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
31-07-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
01-08-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
02-08-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
03-08-2017,840.400024,840.400024,840.400024,840.400024,840.400024,0
04-08-2017,808.700012,808.700012,805,805,805,100
07-08-2017,806.950012,806.950012,806.950012,806.950012,806.950012,100
08-08-2017,806.950012,806.950012,806.950012,806.950012,806.950012,0
09-08-2017,806.950012,806.950012,806.950012,806.950012,806.950012,0
10-08-2017,806.950012,806.950012,806.950012,806.950012,806.950012,0
11-08-2017,806.950012,806.950012,806.950012,806.950012,806.950012,0
14-08-2017,806.950012,806.950012,806.950012,806.950012,806.950012,0
15-08-2017,806.950012,806.950012,806.950012,806.950012,806.950012,0
16-08-2017,806.950012,806.950012,806.950012,806.950012,806.950012,0
17-08-2017,806.950012,806.950012,806.950012,806.950012,806.950012,0
18-08-2017,806.950012,806.950012,806.950012,806.950012,806.950012,0
21-08-2017,806.950012,806.950012,806.950012,806.950012,806.950012,0
22-08-2017,800,800,800,800,800,100
23-08-2017,800,800,800,800,800,0
24-08-2017,800,800,800,800,800,0
25-08-2017,810,810,810,810,810,100
28-08-2017,810,810,810,810,810,0
29-08-2017,810,810,810,810,810,0
30-08-2017,812.049988,812.049988,812.049988,812.049988,812.049988,100
31-08-2017,812.049988,812.049988,812.049988,812.049988,812.049988,0
01-09-2017,812.049988,812.049988,812.049988,812.049988,812.049988,0
05-09-2017,812.049988,812.049988,812.049988,812.049988,812.049988,0
06-09-2017,812.049988,812.049988,812.049988,812.049988,812.049988,0
07-09-2017,812.049988,812.049988,812.049988,812.049988,812.049988,0
08-09-2017,815.219971,815.219971,815.219971,815.219971,815.219971,100
11-09-2017,815.219971,815.219971,815.219971,815.219971,815.219971,0
12-09-2017,815.219971,815.219971,815.219971,815.219971,815.219971,0
13-09-2017,846.330017,850,842.650024,842.650024,842.650024,100
14-09-2017,843.700012,843.700012,843.700012,843.700012,843.700012,0
15-09-2017,843.700012,843.700012,843.700012,843.700012,843.700012,0
18-09-2017,843.700012,843.700012,843.700012,843.700012,843.700012,0
19-09-2017,843.700012,843.700012,843.700012,843.700012,843.700012,0
20-09-2017,843.700012,843.700012,843.700012,843.700012,843.700012,0
21-09-2017,843.700012,843.700012,843.700012,843.700012,843.700012,0
22-09-2017,848.210022,851.049988,848.210022,851.049988,851.049988,100
25-09-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
26-09-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
27-09-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
28-09-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
29-09-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
02-10-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
03-10-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
04-10-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
05-10-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
06-10-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
09-10-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
10-10-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
11-10-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
12-10-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
13-10-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
16-10-2017,851.049988,851.049988,851.049988,851.049988,851.049988,0
17-10-2017,840.200012,840.200012,840.200012,840.200012,840.200012,0
18-10-2017,840.200012,840.200012,840.200012,840.200012,840.200012,0
19-10-2017,840.200012,840.200012,840.200012,840.200012,840.200012,0
20-10-2017,840.200012,840.200012,840.200012,840.200012,840.200012,0
23-10-2017,840.200012,840.200012,840.200012,840.200012,840.200012,0
24-10-2017,840.200012,840.200012,840.200012,840.200012,840.200012,0
25-10-2017,840.200012,840.200012,840.200012,840.200012,840.200012,0
26-10-2017,840.200012,840.200012,840.200012,840.200012,840.200012,0
27-10-2017,840.200012,840.200012,840.200012,840.200012,840.200012,0
30-10-2017,813.5,813.5,813.5,813.5,813.5,100
31-10-2017,815.150024,815.150024,815.150024,815.150024,815.150024,100
01-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
02-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
03-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
06-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
07-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
08-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
09-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
10-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
13-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
14-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
15-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
16-11-2017,815.150024,815.150024,815.150024,815.150024,815.150024,0
